 F21S, F22R, F13S, F3S, F20S, F15S
0.802326,0.755814,0.651163,0.802326,0.790698,0.77907
0.639535,0.593023,0.686047,0.755814,0.488372,0.430233
0.662791,0.651163,0.476744,0.627907,0.825581,0.732558
0.802326,0.616279,0.476744,0.732558,0.151163,0.174419
0.616279,0.581395,0.406977,0.744186,0.813953,0.744186
0.709302,0.581395,0.465116,0.697674,0.651163,0.77907
0.465116,0.44186,0.383721,0.674419,0.465116,0.465116
0.755814,0.465116,0.651163,0.744186,0.662791,0.5
0.209302,0.348837,0.465116,0.593023,0.616279,0.534884
0.302326,0.27907,0.360465,0.325581,0.790698,0.755814
0.569767,0.453488,0.476744,0.627907,0.104651,0.186047
0.77907,0.627907,0.697674,0.686047,0.732558,0.732558
0.744186,0.616279,0.72093,0.790698,0.755814,0.732558
0.674419,0.395349,0.348837,0.744186,0.523256,0.546512
0.825581,0.651163,0.77907,0.883721,0.569767,0.569767
0.674419,0.360465,0.418605,0.767442,0.697674,0.709302
0.069767,0.290698,0.127907,0.569767,0.511628,0.44186
0.395349,0.418605,0.406977,0.651163,0.465116,0.453488
0.732558,0.697674,0.488372,0.674419,0.825581,0.662791
0.755814,0.593023,0.418605,0.674419,0.744186,0.697674
0.325581,0.383721,0.627907,0.627907,0.546512,0.406977
0.709302,0.639535,0.546512,0.709302,0.767442,0.534884
0.755814,0.686047,0.627907,0.72093,0.744186,0.755814
0.697674,0.639535,0.848837,0.732558,0.813953,0.813953
0.802326,0.616279,0.651163,0.77907,0.77907,0.72093
0.790698,0.651163,0.767442,0.837209,0.732558,0.755814
0.848837,0.686047,0.72093,0.790698,0.837209,0.732558
0.27907,0.302326,0.395349,0.255814,0.372093,0.139535
0.627907,0.616279,0.534884,0.593023,0.77907,0.802326
0.744186,0.686047,0.697674,0.697674,0.837209,0.77907
0.755814,0.732558,0.72093,0.848837,0.790698,0.697674
0.686047,0.569767,0.662791,0.767442,0.709302,0.732558
0.511628,0.174419,0.232558,0.523256,0.604651,0.44186
0.709302,0.5,0.511628,0.569767,0.116279,0.267442
0.186047,0.302326,0.651163,0.44186,0.418605,0.430233
0.767442,0.313953,0.697674,0.627907,0.034884,0.046512
0.686047,0.569767,0.604651,0.732558,0.813953,0.825581
0.639535,0.546512,0.418605,0.627907,0.697674,0.709302
0.081395,0.116279,0.034884,0.360465,0.627907,0.523256
0.453488,0.674419,0.453488,0.569767,0.55814,0.523256
0.639535,0.662791,0.546512,0.744186,0.77907,0.662791
0.918605,0.732558,0.616279,0.662791,0.825581,0.686047
0.453488,0.395349,0.372093,0.604651,0.674419,0.616279
0.744186,0.639535,0.697674,0.767442,0.697674,0.732558
0.709302,0.546512,0.523256,0.709302,0.77907,0.755814
0.813953,0.709302,0.732558,0.77907,0.848837,0.767442
0.465116,0.569767,0.569767,0.523256,0.372093,0.383721
0.616279,0.27907,0.406977,0.697674,0.744186,0.72093
0.616279,0.476744,0.476744,0.686047,0.686047,0.767442
0.790698,0.72093,0.813953,0.686047,0.767442,0.767442
0.767442,0.604651,0.406977,0.767442,0.906977,0.755814
0.197674,0.209302,0.186047,0.569767,0.627907,0.465116
0.406977,0.244186,0.290698,0.674419,0.813953,0.755814
0.651163,0.418605,0.662791,0.755814,0.813953,0.77907
0.674419,0.581395,0.55814,0.662791,0.709302,0.755814
0.790698,0.639535,0.372093,0.72093,0.732558,0.709302
0.755814,0.616279,0.674419,0.790698,0.825581,0.709302
0.767442,0.569767,0.604651,0.755814,0.860465,0.77907
0.593023,0.360465,0.465116,0.755814,0.639535,0.744186
0.697674,0.546512,0.651163,0.744186,0.837209,0.813953
0.290698,0.569767,0.325581,0.488372,0.511628,0.465116
0.627907,0.44186,0.55814,0.744186,0.709302,0.697674
0.755814,0.593023,0.755814,0.651163,0.511628,0.430233
0.767442,0.593023,0.72093,0.732558,0.686047,0.686047
0.197674,0.395349,0.186047,0.593023,0.686047,0.616279
0.511628,0.674419,0.546512,0.72093,0.651163,0.511628
0.651163,0.662791,0.453488,0.662791,0.767442,0.732558
0.662791,0.604651,0.674419,0.77907,0.77907,0.802326
0.430233,0.848837,0.406977,0.476744,0.290698,0.22093
0.709302,0.674419,0.627907,0.651163,0.860465,0.767442
0.662791,0.55814,0.593023,0.709302,0.72093,0.709302
0.406977,0.360465,0.406977,0.581395,0.651163,0.755814
0.593023,0.534884,0.627907,0.662791,0.697674,0.651163
0.697674,0.593023,0.697674,0.802326,0.709302,0.697674
0.372093,0.313953,0.302326,0.639535,0.686047,0.697674
0.325581,0.244186,0.372093,0.697674,0.674419,0.709302
0.72093,0.77907,0.604651,0.616279,0.744186,0.523256
0.27907,0.418605,0.44186,0.476744,0.569767,0.674419
0.662791,0.616279,0.616279,0.697674,0.709302,0.72093
0.767442,0.627907,0.72093,0.44186,0.430233,0.255814
0.174419,0.5,0.197674,0.267442,0.104651,0.255814
0.511628,0.453488,0.674419,0.639535,0.627907,0.430233
0.255814,0.232558,0.127907,0.44186,0.639535,0.383721
0.813953,0.686047,0.627907,0.697674,0.744186,0.662791
0.674419,0.593023,0.686047,0.662791,0.674419,0.651163
0.686047,0.639535,0.639535,0.790698,0.72093,0.581395
0.081395,0.139535,0.151163,0.290698,0.476744,0.186047
0.616279,0.546512,0.604651,0.674419,0.755814,0.744186
0.383721,0.255814,0.616279,0.72093,0.697674,0.732558
0.744186,0.534884,0.872093,0.767442,0.848837,0.77907
0.639535,0.55814,0.511628,0.802326,0.639535,0.709302
0.744186,0.616279,0.569767,0.744186,0.755814,0.674419
0.697674,0.616279,0.697674,0.790698,0.534884,0.627907
0.465116,0.476744,0.651163,0.674419,0.55814,0.732558
0.465116,0.604651,0.697674,0.651163,0.686047,0.662791
0.755814,0.918605,0.593023,0.674419,0.872093,0.709302
0.72093,0.639535,0.755814,0.767442,0.790698,0.744186
0.744186,0.686047,0.476744,0.651163,0.860465,0.674419
0.418605,0.383721,0.488372,0.709302,0.662791,0.72093
0.5,0.616279,0.709302,0.872093,0.511628,0.697674
0.709302,0.604651,0.662791,0.709302,0.732558,0.72093
0.837209,0.697674,0.744186,0.790698,0.837209,0.802326
0.813953,0.72093,0.627907,0.848837,0.860465,0.674419
0.837209,0.674419,0.709302,0.709302,0.895349,0.77907
0.802326,0.709302,0.837209,0.767442,0.837209,0.837209
0.697674,0.546512,0.697674,0.802326,0.790698,0.72093
0.616279,0.465116,0.55814,0.639535,0.651163,0.697674
0.709302,0.569767,0.627907,0.674419,0.790698,0.755814
0.593023,0.465116,0.686047,0.709302,0.709302,0.755814
0.825581,0.732558,0.848837,0.802326,0.755814,0.755814
0.77907,0.72093,0.732558,0.744186,0.837209,0.755814
0.732558,0.639535,0.860465,0.802326,0.744186,0.802326
0.639535,0.395349,0.837209,0.848837,0.755814,0.872093
0.697674,0.546512,0.651163,0.686047,0.755814,0.825581
0.767442,0.639535,0.837209,0.755814,0.848837,0.767442
0.825581,0.732558,0.790698,0.767442,0.767442,0.77907
0.837209,0.697674,0.662791,0.697674,0.860465,0.697674
0.686047,0.627907,0.616279,0.697674,0.77907,0.77907
0.872093,0.744186,0.686047,0.77907,0.77907,0.744186
0.732558,0.686047,0.604651,0.627907,0.813953,0.732558
0.848837,0.755814,0.837209,0.802326,0.639535,0.639535
0.732558,0.651163,0.709302,0.709302,0.627907,0.732558
0.686047,0.534884,0.686047,0.790698,0.837209,0.837209
0.825581,0.604651,0.790698,0.802326,0.848837,0.732558
0.744186,0.662791,0.697674,0.802326,0.686047,0.569767
0.511628,0.5,0.627907,0.476744,0.569767,0.453488
0.569767,0.430233,0.674419,0.662791,0.732558,0.802326
0.802326,0.604651,0.813953,0.767442,0.755814,0.77907
0.604651,0.418605,0.511628,0.744186,0.593023,0.488372
0.744186,0.639535,0.651163,0.744186,0.674419,0.732558
0.604651,0.511628,0.55814,0.662791,0.651163,0.709302
0.662791,0.686047,0.616279,0.709302,0.418605,0.255814
0.55814,0.732558,0.593023,0.476744,0.5,0.406977
0.581395,0.546512,0.372093,0.709302,0.674419,0.744186
0.069767,0.116279,0.337209,0.383721,0.651163,0.476744
0.72093,0.5,0.534884,0.732558,0.639535,0.569767
0.872093,0.616279,0.848837,0.534884,0.22093,0.139535
0.744186,0.604651,0.465116,0.639535,0.732558,0.72093
0.755814,0.546512,0.581395,0.616279,0.767442,0.686047
0.453488,0.372093,0.5,0.651163,0.523256,0.383721
0.837209,0.697674,0.709302,0.790698,0.848837,0.767442
0.476744,0.372093,0.709302,0.732558,0.523256,0.430233
0.825581,0.651163,0.825581,0.790698,0.465116,0.430233
0.406977,0.116279,0.162791,0.465116,0.825581,0.744186
0.790698,0.627907,0.697674,0.697674,0.767442,0.697674
0.872093,0.593023,0.837209,0.825581,0.732558,0.744186
0.732558,0.616279,0.790698,0.790698,0.77907,0.697674
0.697674,0.697674,0.744186,0.616279,0.732558,0.77907
0.77907,0.662791,0.744186,0.697674,0.790698,0.697674
0.546512,0.581395,0.697674,0.662791,0.72093,0.72093
0.744186,0.709302,0.651163,0.732558,0.802326,0.744186
0.872093,0.581395,0.895349,0.77907,0.744186,0.744186
0.05814,0.174419,0.186047,0.581395,0.325581,0.313953
0.313953,0.244186,0.232558,0.360465,0.418605,0.337209
0.325581,0.5,0.511628,0.488372,0.581395,0.523256
0.709302,0.674419,0.651163,0.72093,0.72093,0.581395
0.72093,0.697674,0.523256,0.744186,0.767442,0.744186
0.639535,0.55814,0.523256,0.767442,0.72093,0.697674
0.674419,0.581395,0.662791,0.860465,0.732558,0.744186
0.453488,0.290698,0.5,0.767442,0.732558,0.813953
0.767442,0.546512,0.476744,0.767442,0.813953,0.755814
0.72093,0.616279,0.72093,0.77907,0.790698,0.790698
0.488372,0.302326,0.523256,0.616279,0.534884,0.372093
0.77907,0.674419,0.872093,0.72093,0.674419,0.674419
0.790698,0.77907,0.744186,0.709302,0.651163,0.709302
0.686047,0.662791,0.604651,0.674419,0.72093,0.709302
0.686047,0.55814,0.697674,0.744186,0.732558,0.732558
0.837209,0.732558,0.755814,0.767442,0.72093,0.755814
0.802326,0.686047,0.674419,0.802326,0.837209,0.662791
0.837209,0.546512,0.697674,0.77907,0.686047,0.732558
0.813953,0.77907,0.581395,0.732558,0.802326,0.674419
0.860465,0.72093,0.790698,0.77907,0.813953,0.418605
0.790698,0.639535,0.744186,0.883721,0.732558,0.755814
0.697674,0.616279,0.662791,0.813953,0.709302,0.639535
0.755814,0.651163,0.709302,0.848837,0.813953,0.825581
0.802326,0.744186,0.697674,0.767442,0.848837,0.77907
0.767442,0.686047,0.767442,0.813953,0.790698,0.837209
0.72093,0.593023,0.674419,0.825581,0.755814,0.767442
0.813953,0.616279,0.755814,0.651163,0.755814,0.709302
0.837209,0.744186,0.767442,0.744186,0.837209,0.755814
0.848837,0.77907,0.767442,0.732558,0.872093,0.72093
0.709302,0.627907,0.686047,0.709302,0.802326,0.744186
